tahun,pelabuhan,volume,nilai
2011,Tanjung Priok,33868351,77442179
2011,Pasar Ikan,6455,18816
2011,Soekarno-Hatta,114565,11047938
2011,Halim Perdana Kusuma,851,181117
2011,Lainnya,258251,184053
2012,Tanjung Priok,36971468,81102917
2012,Pasar Ikan,198911,15305024
2012,Soekarno-Hatta,10209,44111
2012,Halim Perdana Kusuma,1470,275633
2012,Lainnya,269887,198651
