tahun,pelabuhan,volume,nilai
2011,Tanjung Priok,2828155087,8461566726
2011,Pasar Ikan,56801078,2442255605
2011,Soekarno-Hatta,2517976,43056225
2011,Halim Perdana Kusuma,854383,71983858
2011,Lainnya,7268912,24590987
2012,Tanjung Priok,3034635443,9495390522
2012,Pasar Ikan,60469735,2198034188
2012,Soekarno-Hatta,1820322,42598558
2012,Halim Perdana Kusuma,766539,49242629
2012,Lainnya,7019994,15588014
