tahun,hs,jenis_komoditas,volume,nilai
2012,23,Ampas,265699.79,67775.38
2012,24,Tembakau,4242.66,54183.65
2012,25,"Garam, Belerang, Kapur",95155.63,10240.97
2012,26,"Bijih, Kerak dan Abu Logam",230156.27,18786.36
2012,27,Bahan Bakar Mineral,60381.99,62283.31
2012,28,Bahan Kimia Anorgani,175143.64,69580.02
2012,29,Bahan Kimia Organik,210562.94,416560.11
2012,30,Produk Industri Farmasi,16295.14,365806.78
2012,31,Pupuk,22261.65,10549.16
2012,32,Sari Bahan Samak & Celup,82342.2,248118.33
2012,33,"Minyak Atsiri, Kosmetik Wangi-wangian",71500.3,380530.8
2012,34,Sabun dan Preparat Pembersih,432177.94,524811.62
2012,35,"Perekat, Enzim",15441.44,18075.12
2012,36,Bahan Peledak,3701.45,5043.25
2012,37,Barang-barang Fotografi,22.79,269.76
2012,38,Berbagai Produk Kimia,480066.57,553237.39
2012,39,Plastik dan Barang dari Plastik,1006880.27,1899249.47
2012,40,Karet dan Barang dari Karet,464748.71,1999809.59
2012,41,Jangat dan Kulit Mentah,3389.27,63632.21
2012,42,Barang-barang dari Kulit,14670.15,269397.34
2012,43,Kulit Berbulu,136.93,1267.6
2012,44,"Kayu, Barang dari Kayu",333839.47,409984.69
2012,45,Gabus dan Barang-barang Gabus,24.39,123.27
2012,46,Jerami,13150.82,50537.17
2012,47,Bubur Kayu,3463.62,1425.54
2012,48,Kertas,1421809.45,1455966.47
2012,49,Buku dan Barang Cetakan,6543.23,22519.79
2012,50,Sutera,6.43,23.99
2012,51,"Wol, Bulu Hewan",268.73,880.19
2012,52,Kapas,135884.65,520193.01
2012,53,Serat Tekstil dan Barang Kertas,9700.44,4455.47
2012,54,Filamen Buatan,250905.1,1211986.86
2012,55,Serat Stafel Buatan,580795.98,1637211.66
2012,56,Kapas Gumpalan,8039.68,50576.92
2012,57,Permadani,12128.14,35976.92
2012,58,Kain Tenunan Khusus,5348.46,57690.95
2012,59,Kain Ditenun Berlapis,24065.32,114423.23
2012,60,Kain Rajutan,17129.63,106354.59
2012,61,Barang-barang Rajutan,218775.49,3033504.08
2012,62,Pakaian Jadi Bukan Rajutan,148100.13,2913258.05
2012,63,Kain Perca,47190.68,135731.07
2012,64,Alas Kaki,165401.1,2981827.85
2012,65,Tutup Kepala,1354.26,23569
2012,66,Payung,48.81,1155.42
2012,67,Bulu Unggas,10091.87,240963.1
2012,68,"Benda-benda dari Batu, Gips dan Semen",106204.04,65767.59
2012,69,Produk Keramik,239578.21,270685.33
2012,70,Kaca & Barang dari Kaca,478971.89,257877.22
2012,71,Perhiasan Permata ,4137.98,1369621.7
2012,72,Besi dan Baja,217870.57,250574.87
2012,73,Benda-benda dari Besi dan Baja,204973.57,536946.94
2012,74,Tembaga,143182.1,1158358.34
2012,75,Nikel,680.78,7887.88
2012,76,Alumunium,47183.11,148433.22
2012,78,Timah Hitam,147.52,174.48
2012,79,Seng,3107.05,2559.69
2012,80,Timah,36087.04,422975.47
2012,81,Logam dasar Lainnya,371.62,15268.61
2012,82,"Perkakas, Perangkat Potong",3547.68,72611.04
2012,83,Berbagai Barang Logam Dasa,40050.14,165013.54
2012,84,Mesin-mesin/Pesawat Mekanik,454058.15,4146812.82
2012,85,Mesin/Peralatan Listrik,454658.75,7120360.6
2012,86,Lokomotif dan Peralatan Kereta Api,1318.41,9661.81
2012,87,Kendaraan dan Bagiannya,434593.14,4247565.77
2012,88,Kapal Terbang dan Bagiannya,1657.43,118353.59
2012,89,Kapal Laut dan Bangunan Terapung,8962.92,7570.32
2012,90,Perangkat Optik,7804.65,263714.51
2012,91,"Lonceng, Arloji dan Bagiannya",58.45,2676.69
2012,92,Perangkat Musik,41562.05,379764.85
2012,93,Senjata/Amunisi,5.87,1562.78
2012,94,"Perabot, Penerangan Rumah",185712.98,595241.32
2012,95,Maianan,32759.38,369275.79
2012,96,Berbagai Barang Buatan Pabrik,43910.89,288858.69
2012,97,Hasil Karya Seni,275.24,131165.12
2012,98,"Kendaraan Bermotor/Komponen, Terbongkar",260.31,1753.77
