tahun,nama_kabkota,perikanan_tangkap,budidaya_laut,budidaya_tambak,budidaya_kolam
2011,Kepulauan Seribu,1584,"798,14",-,-
2011,Jakarta Selatan,-,-,-,"287,95"
2011,Jakarta Timur,-,-,-,"869,14"
2011,Jakarta Pusat,-,-,-,"1,8"
2011,Jakarta Barat,-,-,-,"4214,7"
2011,Jakarta Utara,"178623,9",-,"1794,7","243,05"
