LokasiID;Komisi;SKPDKode;SKPDNama;UrusanKode;UrusanNama;ProgramKode;ProgramTeks;Kegiatan; Anggaran ;Vol;Satuan
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.68;Program Pengembangan Sistem Pengelolaan Kinerja Pembangunan SKPD Urusan Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;Penyusunan Laporan Keuangan dan Laporan Realisasi Anggaran BKD Provinsi DKI Jakarta;99,999,940;2;Laporan
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.41;Program Penataan Sistem Manajemen SDM Aparatur;Pengembangan Budaya Kerja PNS Provinsi DKI Jakarta;249,981,500;1;dokumen
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.41;Program Penataan Sistem Manajemen SDM Aparatur;Pengadaan CPNS dengan metode CAT (Computer Assisted Test) Di Lingkungan Pemerintah Provinsi DKI Jakarta;3,499,998,455;2000;Orang
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.41;Program Penataan Sistem Manajemen SDM Aparatur;Seleksi Dan Pengiriman Calon Praja IPDN;778,042,460;570;Orang
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.41;Program Penataan Sistem Manajemen SDM Aparatur;Penyusunan Dan Pengembangan Formasi Kebutuhan Pegawai Di Lingkungan Pemerintah Provinsi DKI Jakarta;94,999,840;48;SKPD dan 5 RSUD
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.46;Program Peningkatan Kapasitas Sumber Daya Aparatur DKI;Uji Kompetensi Pejabat/Pegawai Potensial;999,999,905;1000;pej & 94 assesment centre
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.46;Program Peningkatan Kapasitas Sumber Daya Aparatur DKI;Penyusunan Training Needs Analysis (TNA);99,997,270;7;SKPD dan 6 standar kompetensi
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.46;Program Peningkatan Kapasitas Sumber Daya Aparatur DKI;Konseling Kerja Dalam Rangka Peningkatan Kompetensi Dan Kimerja Pegawai;101,999,595;500;Pegawai
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.46;Program Peningkatan Kapasitas Sumber Daya Aparatur DKI;Pengembangan Kompetensi Pegawai Dan Evaluasi Pasca Diklat;174,995,895;225;Orang
0;1;1.20.019;BADAN KEPEGAWAIAN DAERAH;1.2;Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian;1.20.46;Program Peningkatan Kapasitas Sumber Daya Aparatur DKI;Proses Kenaikan Pangkat Terpadu PNS Pemerintah Provinsi DKI Jakarta;469,999,440;10000;SK
