"jenis_komoditas","volume","nilai"
"Sutera",136.93,1267.6
"Wol, Bulu Hewan",333839.47,409984.69
"Kapas",24.39,123.27
"Serat Tekstil dan Barang Kertas",13150.82,50537.17
"Kapas Gumpalan",3463.62,1425.54
"Permadani",1421809.45,1455966.47
"Kain Tenunan Khusus",6543.23,22519.79
"Kain Ditenun Berlapis",6.43,23.99
"Kain Rajutan",268.73,880.19
"Kain Perca",135884.65,520193.01
"Tutup Kepala",9700.44,4455.47
"Payung",250905.1,1211986.86
"Bulu Unggas",580795.98,1637211.66
"Benda-benda dari Batu, Gips dan Semen",8039.68,50576.92
"Produk Keramik",12128.14,35976.92
"Kaca & Barang dari Kaca",5348.46,57690.95
"Besi dan Baja",24065.32,114423.23
"Benda-benda dari Besi dan Baja",17129.63,106354.59
"Nikel",218775.49,3033504.08
"Alumunium",148100.13,2913258.05
"Timah Hitam",47190.68,135731.07
"Seng",165401.1,2981827.85
"Timah",1354.26,23569
"Logam dasar Lainnya",48.81,1155.42
"Perkakas, Perangkat Potong",10091.87,240963.1
"Berbagai Barang Logam Dasa",106204.04,65767.59
"Lokomotif dan Peralatan Kereta Api",239578.21,270685.33
"Kapal Terbang dan Bagiannya",478971.89,257877.22
"Kapal Laut dan Bangunan Terapung",4137.98,1369621.7
"Perangkat Optik",217870.57,250574.87
"Lonceng, Arloji dan Bagiannya",204973.57,536946.94
"Perangkat Musik",143182.1,1158358.34
"Senjata/Amunisi",680.78,7887.88
"Perabot, Penerangan Rumah",47183.11,148433.22
"Maianan",147.52,174.48
"Berbagai Barang Buatan Pabrik",3107.05,2559.69
"Hasil Karya Seni",36087.04,422975.47
"Kendaraan Bermotor/Komponen, Terbongkar",371.62,15268.61
"Lemak & Minyak Hewan",3547.68,72611.04
"Plastik dan Barang dari Plastik",40050.14,165013.54
"Karet dan Barang dari Karet",454058.15,4146812.82
"Kertas",454658.75,7120360.6
"Filamen Buatan",1318.41,9661.81
"Serat Stafel Buatan",434593.14,4247565.77
"Perhiasan Permata ",1657.43,118353.59
"Tembaga",8962.92,7570.32
"Ikan dan Udang",7804.65,263714.51
"Lemak & Minyak Hewan",58.45,2676.69
"Plastik dan Barang dari Plastik",41562.05,379764.85
"Karet dan Barang dari Karet",5.87,1562.78
"Kertas",185712.98,595241.32
"Filamen Buatan",32759.38,369275.79
"Serat Stafel Buatan",43910.89,288858.69
"Perhiasan Permata ",275.24,131165.12
"Tembaga",260.31,1753.77
